index,lat,lon,depth
1.1880000e+03, 4.5200920e+01,-1.2397323e+02,-2.7003031e+00
1.1890000e+03, 4.5200914e+01,-1.2397325e+02,-2.7143435e+00
1.1900000e+03, 4.5200909e+01,-1.2397328e+02,-2.7339753e+00
1.1910000e+03, 4.5200903e+01,-1.2397330e+02,-2.7474262e+00
1.1920000e+03, 4.5200897e+01,-1.2397333e+02,-2.7664800e+00
1.1930000e+03, 4.5200892e+01,-1.2397335e+02,-2.7790776e+00
1.1940000e+03, 4.5200886e+01,-1.2397338e+02,-2.7972405e+00
1.1950000e+03, 4.5200881e+01,-1.2397340e+02,-2.8091880e+00
1.1960000e+03, 4.5200875e+01,-1.2397343e+02,-2.8264297e+00
1.1970000e+03, 4.5200869e+01,-1.2397345e+02,-2.8378213e+00
1.1980000e+03, 4.5200864e+01,-1.2397348e+02,-2.8540581e+00
1.1990000e+03, 4.5200858e+01,-1.2397350e+02,-2.8647892e+00
1.2000000e+03, 4.5200853e+01,-1.2397352e+02,-2.8752026e+00
1.2010000e+03, 4.5200847e+01,-1.2397355e+02,-2.8903476e+00
1.2020000e+03, 4.5200841e+01,-1.2397357e+02,-2.9002560e+00
1.2030000e+03, 4.5200836e+01,-1.2397360e+02,-2.9146896e+00
1.2040000e+03, 4.5200830e+01,-1.2397362e+02,-2.9241543e+00
1.2050000e+03, 4.5200824e+01,-1.2397365e+02,-2.9380823e+00
1.2060000e+03, 4.5200819e+01,-1.2397367e+02,-2.9472439e+00
1.2070000e+03, 4.5200813e+01,-1.2397370e+02,-2.9608567e+00
1.2080000e+03, 4.5200808e+01,-1.2397372e+02,-2.9698823e+00
1.2090000e+03, 4.5200802e+01,-1.2397375e+02,-2.9833873e+00
1.2100000e+03, 4.5200796e+01,-1.2397377e+02,-2.9924310e+00
1.2110000e+03, 4.5200791e+01,-1.2397380e+02,-3.0059736e+00
1.2120000e+03, 4.5200785e+01,-1.2397382e+02,-3.0151419e+00
1.2130000e+03, 4.5200780e+01,-1.2397385e+02,-3.0288368e+00
1.2140000e+03, 4.5200774e+01,-1.2397387e+02,-3.0382065e+00
1.2150000e+03, 4.5200768e+01,-1.2397390e+02,-3.0522103e+00
1.2160000e+03, 4.5200763e+01,-1.2397392e+02,-3.0617346e+00
1.2170000e+03, 4.5200757e+01,-1.2397394e+02,-3.0714719e+00
1.2180000e+03, 4.5200752e+01,-1.2397397e+02,-3.0857602e+00
1.2190000e+03, 4.5200746e+01,-1.2397399e+02,-3.0957457e+00
1.2200000e+03, 4.5200740e+01,-1.2397402e+02,-3.1104161e+00
1.2210000e+03, 4.5200735e+01,-1.2397404e+02,-3.1204402e+00
1.2220000e+03, 4.5200729e+01,-1.2397407e+02,-3.1352790e+00
1.2230000e+03, 4.5200723e+01,-1.2397409e+02,-3.1456317e+00
1.2240000e+03, 4.5200718e+01,-1.2397412e+02,-3.1603052e+00
1.2250000e+03, 4.5200712e+01,-1.2397414e+02,-3.1707039e+00
1.2260000e+03, 4.5200707e+01,-1.2397417e+02,-3.1852493e+00
1.2270000e+03, 4.5200701e+01,-1.2397419e+02,-3.1955704e+00
1.2280000e+03, 4.5200695e+01,-1.2397422e+02,-3.2100880e+00
1.2290000e+03, 4.5200690e+01,-1.2397424e+02,-3.2199662e+00
1.2300000e+03, 4.5200684e+01,-1.2397427e+02,-3.2345332e+00
1.2310000e+03, 4.5200679e+01,-1.2397429e+02,-3.2446581e+00
1.2320000e+03, 4.5200673e+01,-1.2397432e+02,-3.2595375e+00
1.2330000e+03, 4.5200667e+01,-1.2397434e+02,-3.2701694e+00
1.2340000e+03, 4.5200662e+01,-1.2397436e+02,-3.2805415e+00
1.2350000e+03, 4.5200656e+01,-1.2397439e+02,-3.2956672e+00
1.2360000e+03, 4.5200651e+01,-1.2397441e+02,-3.3060909e+00
1.2370000e+03, 4.5200645e+01,-1.2397444e+02,-3.3211880e+00
1.2380000e+03, 4.5200639e+01,-1.2397446e+02,-3.3318826e+00
1.2390000e+03, 4.5200634e+01,-1.2397449e+02,-3.3464154e+00
1.2400000e+03, 4.5200628e+01,-1.2397451e+02,-3.3568991e+00
1.2410000e+03, 4.5200622e+01,-1.2397454e+02,-3.3713351e+00
1.2420000e+03, 4.5200617e+01,-1.2397456e+02,-3.3810971e+00
1.2430000e+03, 4.5200611e+01,-1.2397459e+02,-3.3948505e+00
1.2440000e+03, 4.5200606e+01,-1.2397461e+02,-3.4040650e+00
1.2450000e+03, 4.5200600e+01,-1.2397464e+02,-3.4168799e+00
1.2460000e+03, 4.5200594e+01,-1.2397466e+02,-3.4256879e+00
1.2470000e+03, 4.5200589e+01,-1.2397469e+02,-3.4370007e+00
1.2480000e+03, 4.5200583e+01,-1.2397471e+02,-3.4449005e+00
1.2490000e+03, 4.5200578e+01,-1.2397474e+02,-3.4547888e+00
1.2500000e+03, 4.5200572e+01,-1.2397476e+02,-3.4615980e+00
1.2510000e+03, 4.5200566e+01,-1.2397478e+02,-3.4678989e+00
1.2520000e+03, 4.5200561e+01,-1.2397481e+02,-3.4753807e+00
1.2530000e+03, 4.5200555e+01,-1.2397483e+02,-3.4804492e+00
1.2540000e+03, 4.5200550e+01,-1.2397486e+02,-3.4862482e+00
1.2550000e+03, 4.5200544e+01,-1.2397488e+02,-3.4901739e+00
1.2560000e+03, 4.5200538e+01,-1.2397491e+02,-3.4946418e+00
1.2570000e+03, 4.5200533e+01,-1.2397493e+02,-3.4973342e+00
1.2580000e+03, 4.5200527e+01,-1.2397496e+02,-3.5004178e+00
1.2590000e+03, 4.5200521e+01,-1.2397498e+02,-3.5023813e+00
1.2600000e+03, 4.5200516e+01,-1.2397501e+02,-3.5041091e+00
1.2610000e+03, 4.5200510e+01,-1.2397503e+02,-3.5052912e+00
1.2620000e+03, 4.5200505e+01,-1.2397506e+02,-3.5060456e+00
1.2630000e+03, 4.5200499e+01,-1.2397508e+02,-3.5065865e+00
1.2640000e+03, 4.5200493e+01,-1.2397511e+02,-3.5066751e+00
1.2650000e+03, 4.5200488e+01,-1.2397513e+02,-3.5066201e+00
1.2660000e+03, 4.5200482e+01,-1.2397516e+02,-3.5061364e+00
1.2670000e+03, 4.5200477e+01,-1.2397518e+02,-3.5057549e+00
1.2680000e+03, 4.5200471e+01,-1.2397520e+02,-3.5053474e+00
1.2690000e+03, 4.5200465e+01,-1.2397523e+02,-3.5044192e+00
1.2700000e+03, 4.5200460e+01,-1.2397525e+02,-3.5038228e+00
1.2710000e+03, 4.5200454e+01,-1.2397528e+02,-3.5028545e+00
1.2720000e+03, 4.5200449e+01,-1.2397530e+02,-3.5022930e+00
1.2730000e+03, 4.5200443e+01,-1.2397533e+02,-3.5014934e+00
1.2740000e+03, 4.5200437e+01,-1.2397535e+02,-3.5009034e+00
1.2750000e+03, 4.5200432e+01,-1.2397538e+02,-3.4995238e+00
1.2760000e+03, 4.5200426e+01,-1.2397540e+02,-3.4984443e+00
1.2770000e+03, 4.5200420e+01,-1.2397543e+02,-3.4964422e+00
1.2780000e+03, 4.5200415e+01,-1.2397545e+02,-3.4949379e+00
1.2790000e+03, 4.5200409e+01,-1.2397548e+02,-3.4924072e+00
1.2800000e+03, 4.5200404e+01,-1.2397550e+02,-3.4905849e+00
1.2810000e+03, 4.5200398e+01,-1.2397553e+02,-3.4876436e+00
1.2820000e+03, 4.5200392e+01,-1.2397555e+02,-3.4855899e+00
1.2830000e+03, 4.5200387e+01,-1.2397558e+02,-3.4823458e+00
